company_name,company_website,company_country,company_industry,headcount,company_linkedin,source_platform,account_owner,lifecycle_stage,last_activity_date,notes
UiPath,https://www.uipath.com,United States,Artificial Intelligence,4000,https://www.linkedin.com/company/uipath,Sales Navigator-style sample,Henry Scott,Prospect,2026-09-05,Public company data; headcount is approximate for testing.
Shopify,https://www.shopify.com,Canada,E-commerce,8000,https://www.linkedin.com/company/shopify,Sales Navigator-style sample,Ella Thompson,Prospect,2026-09-10,Public company data; headcount is approximate for testing.
N26,https://n26.com,Germany,FinTech,1500,https://www.linkedin.com/company/n26,Sales Navigator-style sample,Felix Schneider,Prospect,2026-09-08,Public company data; headcount is approximate for testing.
Trade Republic,https://traderepublic.com,Germany,FinTech,1200,https://www.linkedin.com/company/trade-republic,Sales Navigator-style sample,Anna Becker,Lead,2026-09-09,Public company data; headcount is approximate for testing.
GetYourGuide,https://www.getyourguide.com,Germany,Travel Technology,800,https://www.linkedin.com/company/getyourguide,Sales Navigator-style sample,Max Hoffmann,Prospect,2026-09-03,Public company data; headcount is approximate for testing.
Delivery Hero,https://www.deliveryhero.com,Germany,E-commerce,4000,https://www.linkedin.com/company/delivery-hero-se,Sales Navigator-style sample,Sarah Koch,Prospect,2026-09-02,Public company data; headcount is approximate for testing.
Zalando,https://www.zalando.com,Germany,E-commerce,15000,https://www.linkedin.com/company/zalando,Sales Navigator-style sample,David Wagner,Prospect,2026-09-01,Public company data; headcount is approximate for testing.
Bosch,https://www.bosch.com,Germany,Manufacturing,400000,https://www.linkedin.com/company/bosch,Sales Navigator-style sample,Julia Klein,Prospect,2026-09-05,Public company data; headcount is approximate for testing.
Siemens,https://www.siemens.com,Germany,Manufacturing,320000,https://www.linkedin.com/company/siemens,Sales Navigator-style sample,Thomas Braun,Prospect,2026-09-06,Public company data; headcount is approximate for testing.
SAP,https://www.sap.com,Germany,Software,105000,https://www.linkedin.com/company/sap,Sales Navigator-style sample,Laura Richter,Customer,2026-09-12,Public company data; headcount is approximate for testing.
